TEST ROW
HIGHDELT
383.4707030000027,434.89843699999983,443.859375,512.4003909999992,746.9394530000027
HIGHDATE
2019-08-13,2019-01-30,2019-02-15,2019-06-04,2019-01-04
HIGHDIFF
1,1,1,1,1
LOWDELT
-800.4902340000008,-660.0195310000017,-623.3398430000016,-494.41992200000095,-473.390625
LOWDATE
2019-08-14,2019-01-03,2019-08-23,2019-10-02,2019-05-07
LOWDIFF
1,1,1,1,1
HIGHTWEETS
